compra_renta,tipo,precio,superficie,municipio
Venta,"Estrena Residencia en Preventa en Cumbres Santoral, García, Nuevo León","$4,000,000",162 m²,N.L.
Venta,"Estrena Casa Amplia Cumbres Santoral, García","$4,350,000",171 m²,N.L.
Venta,Casa Nueva Equipada Venta en Cumbres Élite Premier Everest Monterrey,"$7,250,000",167 m²,Monterrey
Venta,"Amplia Casa Venta en Cumbres Élite Premier, García, NL","$6,500,000",147 m²,N.L.
Venta,Residencia de Lujo en Venta Cumbres Elite Premier Garcia,"$4,500,000",144 m²,N.L.
Venta,"Casa en Venta en Cumbres Élite Premier, García","$4,900,000",144 m²,N.L.
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,Departamento en VENTA en Torre de San Pedro,"$10,680,000",,Santa Fe
Venta,DEPARTAMENTO EN VENTA EN NUEVO SUR GAETA NORTE MTY NL,"$4,950,000",,Ladrillera
Venta,Casa en venta Cumbres Mediterraneo,"$8,200,000",176 m²,Cumbres Mediterráneo
Venta,"Amplisima Casa Venta Cumbres Élite Premier Sector Everest, Monterrey","$7,484,100",167 m²,Monterrey
Venta,"Casa en Venta muy amplia en Santoral Equipada , García","$4,200,000",152 m²,N.L.
Venta,"Espectacula Casa Venta Cumbres Élite Premier Sector Everest, Monterrey","$7,998,000",167 m²,Monterrey
Venta,"Departamentos en Preventa, Centro de Monterrey","$3,700,000",,Centro
Venta,"Casa de diseño única en Cumbres Élite Premier, García","$6,500,000",144 m²,N.L.
Venta,Casa en VENTA Balcones de Santo Domingo,"$1,890,000",90 m²,Balcones de Santo Domingo
Venta,Estrena Casa Venta en Cumbres Élite Premier con Sótano en García,"$4,850,000",144 m²,N.L.
Venta,"Estrena Casa en Venta Carretera Nacional en Carolco, Monterrey","$10,100,000",305 m²,Monterrey
Venta,Fabulosa Casa Venta Loma Bonita Carretera Nacional en Monterrey,"$13,990,000",376 m²,Monterrey
Venta,"Invierte en Nuestros Departamentos Céntricos Aluna, Monterrey","$3,400,000",,Centro
Venta,"Departamentos venta cerca del Barrio Antiguo, Monterrey","$2,887,955",,Centro
Venta,Departamentos Venta Barrio Antiguo en Monterrey,"$2,793,000",,Centro
Venta,"Departamento Vuelve a tu Centro, en pre venta.","$2,884,987",,Sarabia
Venta,Casa en Venta Cumbres San Agustín en equina con alberca!!,"$6,550,000",223 m²,Monterrey
Venta,Departamento en pre venta zona Centro,"$2,570,017",,Centro
Venta,"Casa en Venta Misión de los Angeles, Apodaca","$2,399,250",122 m²,N.L.
Venta,Departamento en pre venta zona Centro,"$2,819,341",,México
Venta,"Casa en Venta, Noria Sur, Apodaca","$1,600,000",105 m²,Cañada Blanca
Venta,"Casa en Esquina en Venta , Mitras Poniente, Garcia","$2,500,000",136 m²,N.L.
Venta,"ESTRENA CASA EN HERMOSA PRIVADA CON AMENIDADES, DOMINIO CUMBRES","$2,413,000",119 m²,N.L.
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
