compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,"Arena Calzada, departamentos en el Centro de Monterrey","$3,048,279",,Centro,2,2
Venta,DEPARTAMENTO VENTA TORRE KOI,"$13,330,000",,Santa Fe,2,2
Venta,DEPARTAMENTO EN PREVENTA PARA ENTREGA EN 2024,"$3,600,000",,Centro,3,2
Venta,Departamento en Valle Oriente. 138.55m2.,"$11,460,000",,Santa Fe,2,2
Venta,"Arena Calzada, departamentos en el Centro de Monterrey","$2,570,017",,Centro,1,1
Venta,DEPARTAMENTO VENTA TORRE ATRIA,"$12,200,000",,Residencial Santa Barbara,3,3
Venta,DEPARTAMENTO EN VENTA SAN PEDRO GARZA GARCIA,"$57,000,000",,Del Valle,4,4+
Venta,DEPARTAMENTO VENTA VISTA HERMOSA,"$4,430,000",,Vista Hermosa,2,2
Venta,DEPARTAMENTO VENTA TORRE KOI,"$11,715,000",,La Muralla,2,2
Venta,"Arena Calzada, departamentos en el Centro de Monterrey","$2,819,341",,Centro,2,2
Venta,"Arena Calzada, departamentos en el Centro de Monterrey","$2,536,810",,Centro,1,1
Venta,DEPARTAMENTOS EN PREVENTA ZONA CENTRO,"$2,895,000",,Industrial,1,1
Venta,DEPARTAMENTO VENTA SAN PEDRO TORRE ATRIA,"$9,550,000",,Residencial Santa Barbara,2,2
Venta,"Arena Calzada, departamentos en el Centro de Monterrey","$2,440,930",,Centro,1,1
Venta,PREVENTA DEPARTAMENTOS ZONA CENTRO CERCA DE FUNDIDORA,"$2,820,000",,Desarrollo Urbano Reforma,1,1
Venta,"Arena Calzada, departamentos en el Centro de Monterrey","$2,884,987",,Centro,2,2
Venta,Preventa Departamentos Valle Poniente Entrega Mediados 2023,"$3,570,000",,Santa Catarina,1,1
Venta,"VENTA DE DEPARTAMENTOS PUERTA OBISPADO, MONTERREY, N.L.","$4,945,000",,Centro,2,2
Venta,"VENTA DE DEPARTAMENTOS PUERTA OBISPADO, MONTERREY, N.L.","$4,755,000",,Centro,2,2
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$7,150,000",,Sin Nombre de Col 31,3,2
Venta,VENTA de DEPARTAMENTOS en SAN PEDRO GARZA GARCIA NUEVO LEON,"$6,700,000",46 m²,Zona Campestre,1,1
Venta,Departamento en Venta para alumnos UANL,"$2,531,457",61 m²,Del Nte.,2,2
Venta,"Departamentos en Preventa Melchor Ocampo, Mty N.L.","$3,800,000",,Centro,1,1
Venta,Departamento en Valle Oriente. 148.76m2.,"$11,715,000",,Santa Fe,2,2
Venta,Departamento en Preventa Zona Santa María,"$5,650,000",,Cumbres del Valle,2,2
Venta,"Departamentos Entrega Inmediata Valle Poniente. Precios desde 5'050,000","$5,050,000",,Santa Catarina,2,2
Venta,Departamento para entrega inmediata. 131.37m2,"$10,985,000",,Santa Fe,2,2
Venta,Departamento de Lujo en Valle Poniente,"$13,330,000",,Santa Fe,2,2
