compra_renta,tipo,precio,superficie,municipio
Venta,CASA VENTA COLINAS SAN JERONIMO EN MONTERREY CERCA  PUERTA SOL,"$5,500,000",133 m²,Colinas de San Jerónimo 11O. Sector
Venta,CASA VENTA EN LA JOYA  SECTOR MAGNOLIA EN CARRETERA NACIONAL MONTERREY,"$14,300,000",468 m²,La Joya Privada Residencial
Venta,CASA VENTA CAROLCO  CARRETERA NACIONAL EN MONTERREY NUEVO LEON,"$12,980,000",330 m²,La Bola
Venta,CASA VENTA PUNTA LA BOCA EN SANTIAGO NUEVO LEON.,"$11,950,000",315 m²,Boca Palma
Venta,CASA VENTA CASTANOS DEL VERGEL CARRETERA NACIONAL MONTERREY,"$7,890,000",254 m²,Sin Nombre de Col 51
Venta,DEPARTAMENTO PREVENTA EN LIVITA LOMAS DE SAN FRANCISCO MONTERREY,"$4,782,888",,Lomas de San Francisco
Venta,CASA VENTA EN ALTARES RESIDENCIAL EN SANTIAGO CERCA DE LOS CAVAZOS,"$4,750,000",202 m²,Santiago
Venta,RINCON DE SAN GERARDO EL BARRO EN MONTERREY,"$5,650,000",158 m²,Monterrey
Venta,DEPARTAMENTO VENTA BALCONES DE SATELITE ZONA SUR EN MONTERREY,"$6,900,000",,Predio Residencial Satélite Regiomontano
Venta,Casa en Venta Cumbres 5to sector,"$5,500,000",220 m²,Cumbres 5o. Sector Secc a
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,CASA EN VENTA RESIDENCIAL CHIPINQUE 3ER SECTOR SAN PEDRO,"$21,500,000",340 m²,Residencial Chipinque 3ER Sector
Venta,Casa en Venta en Colinas del Huajuco,"$4,520,000",292 m²,Portal del Huajuco
Venta,"CASA EN VENTA ZONA TEC COL.ROMA , MONTERREY","$5,350,000",325 m²,Roma
Venta,Te Ayudamos a Traspasar tu casa,"$300,000",100 m²,Joaquín Garza y Garza
Venta,"Departamento Nuevo Listo Para Estrenar en Valle Pte, Torre Cian","$5,900,000",,Sin Nombre de Col 25
Venta,CASA EN VENTA CUMBRES 3er SECTOR MONTERREY,"$9,600,000",434 m²,Monterrey
Venta,CASA EN VENTA cerca de eloy cavazos TIERRA PROPIA GUADALUPE,"$790,000",126 m²,Tierra Propia 1er Sector
Venta,CASA EN VENTA LAS LOMAS SECTOR BOSQUES GARCIA,"$2,450,000",135 m²,Las Lomas Sector Bosques
Venta,DEPARTAMENTO EN VENTA SIKARA por paseo de los leones CUMBRES MADEIRA MONTERREY,"$3,286,965",,Cumbres Madeira
Venta,DEPARTAMENTO EN VENTA SIKARA por paseo de los leones CUMBRES MADEIRA MONTERREY,"$4,124,800",,Cumbres Madeira
Venta,CASA EN VENTA VALLE DE CHIPINQUE SAN PEDRO,"$31,500,000",437 m²,Valle de Chipinque
Venta,DEPARTAMENTO EN VENTA pet friendly por adolfo lopez mateos LIVING SAN NICOLAS,"$3,200,000",,San Nicolás de los Garza
Venta,CASA EN VENTA VALLE DE CUMBRES primer sector GARCIA,"$2,450,000",119 m²,Valle de Cumbres
Venta,DEPARTAMENTO EN VENTA por lazaro cardenas VALLE ORIENTE SAN PEDRO,"$13,450,000",,Zona Valle Oriente
Venta,CASA EN VENTA por provenza y dominio CUMBRES LA RIOJA GARCIA,"$2,600,000",134 m²,N.L.
Venta,CASA DE 3 RECAMARAS EN VENTA ARBOLADA CANCUN,"$3,500,000",110 m²,N.L.
Venta,CASA EN VENTA EN APODACA CENTRO,"$9,500,000",,Apodaca Centro
Venta,VENTA de CASA en SIERRA VISTA RESIDENCIAL Juarez Nuevo Leon,"$1,650,000",119 m²,Sierra Vista
Venta,DEPARTAMENTO EN VENTA EN CENTRO MONTERREY,"$4,145,000",,Centro
Venta,DEPARTAMENTO EN VENTA EN CENTRO MONTERREY,"$3,425,000",,Centro
Venta,DEPARTAMENTOS EN VENTA EN VALLE PONIENTE,"$8,390,000",,Protexa Industrial
Venta,DEPARTAMENTOS EN VENTA EN VALLE PONIENTE,"$7,710,000",,Protexa Industrial
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$5,200,000",,Sin Nombre de Col 31
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,CASA EN VENTA EN APODACA NUEVO AMANECER 5 RECAMARAS,"$1,100,000",120 m²,Nuevo Amanecer
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL CAROLCO,"$12,980,000",330 m²,Monterrey
Venta,CASA EN VENTA EN CONTRY SOL GUADALUPE NL,"$9,000,000",283 m²,Contry Sol
Venta,DEPARTAMENTO EN VENTA EN SANTA MARIA JUNTO A SAN PEDRO GG,"$4,625,000",,Monterrey
Venta,DEPARTAMENTO EN VENTA EN OBISPADO,"$4,250,000",,Obispado
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$4,870,000",,Sin Nombre de Col 31
Venta,PENTHOUSE EN VENTA EN VALLE PONIENTE,"$13,920,000",,Protexa Industrial
Venta,RESIDENCIAS EN VENTA EN VALLE PONIENTE,"$13,920,000",,Protexa Industrial
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$7,150,000",,Sin Nombre de Col 31
Venta,"Casa en Venta Porto Cumbres, Venecia","$4,495,000",152 m²,Dominio Cumbres
Venta,PENTHOUSE EN VENTA EN VALLE PONIENTE,"$18,300,000",,Protexa Industrial
Venta,CASA EN VENTA por valle oriente RESIDENCIAL SAN AGUSTIN SAN PEDRO,"$8,995,000",305 m²,Residencial San Agustín 1er Sector
Venta,CASA EN VENTA por valle oriente LADERAS DEL MIRADOR MONTERREY,"$2,950,000",204 m²,Laderas del Mirador (Fomerrey 21)
Venta,Casa en venta Cumbres Mediterraneo,"$8,200,000",176 m²,Cumbres Mediterráneo
Venta,"Casa sola en venta en Las Puentes Sector 6, San Nicolás de los Garza, Nuevo León","$2,450,000",120 m²,Las Puentes 6to Sector
Venta,"Casa sola en venta en Cerradas de Anáhuac, General Escobedo, Nuevo León","$3,400,000",120 m²,Cerrada de Anáhuac Residencial
